id_case,id_technology,id_watersource,DOI
1,MBR_RO_A,APTW,https://doi.org/10.1016/j.scitotenv.2019.136312
2,MBR_RO_B,RMW,https://doi.org/10.1016/j.scitotenv.2019.136312
3,MBR_RO_C,RMW,https://doi.org/10.1016/j.scitotenv.2019.136312
4,MBR_RO_D,APTW,https://doi.org/10.1016/j.scitotenv.2019.136312
5,MBR_RO_E,RMW,https://doi.org/10.1016/j.scitotenv.2019.136312
6,MF_RO_A,TTW,https://doi.org/10.1016/j.scitotenv.2019.136312
7,CAS_UF_RO_A,RMW,https://doi.org/10.1016/j.scitotenv.2019.136312
8,MBR_NF_A,RMW,https://doi.org/10.1016/j.scitotenv.2019.136312
9,MBR_RO_F,RMW,https://doi.org/10.1016/j.scitotenv.2019.136312
10,MBR_RO_A,APTW,https://doi.org/10.1016/j.scitotenv.2019.136312
11,MBR_RO_B,RMW,https://doi.org/10.1016/j.scitotenv.2019.136312
12,MBR_RO_D,APTW,https://doi.org/10.1016/j.scitotenv.2019.136312
13,MF_RO_A,TTW,https://doi.org/10.1016/j.scitotenv.2019.136312
14,MBR_RO_E,RMW,https://doi.org/10.1016/j.scitotenv.2019.136312
15,MBR_NF_A,RMW,https://doi.org/10.1016/j.scitotenv.2019.136312
16,MBR_NF_B,RMW,https://doi.org/10.1016/j.scitotenv.2019.136312
17,MBR_NF_C,RMW,https://doi.org/10.1016/j.scitotenv.2019.136312
18,MBR_UF_A,PTW,https://doi.org/10.1016/j.watres.2008.11.043
19,MBR_UF_A,PTW,https://doi.org/10.1016/j.watres.2008.11.043
20,MBR_UF_A,PTW,https://doi.org/10.1016/j.watres.2008.11.043
21,MBR_UF_A,PTW,https://doi.org/10.1016/j.watres.2008.11.043
22,MBR_UF_A,PTW,https://doi.org/10.1016/j.watres.2008.11.043
23,MBR_MF_A,PTW,https://doi.org/10.1016/j.watres.2008.11.043
24,MBR_MF_A,PTW,https://doi.org/10.1016/j.watres.2008.11.043
25,MBR_MF_A,PTW,https://doi.org/10.1016/j.watres.2008.11.043
26,MBR_MF_A,PTW,https://doi.org/10.1016/j.watres.2008.11.043
27,MBR_MF_A,PTW,https://doi.org/10.1016/j.watres.2008.11.043
