id_case,id_parameter,value
1,C_ini,56
2,C_ini,15_1800
2,C_DOC,7.8
3,flux,22_31
3,C_ini,85_122
4,C_ini,20_27
5,C_ini,100_500
5,flux,18
6,C_ini,805_1030
7,flux,45
7,C_ini,85_122
8,flux,18
8,C_ini,100_500
9,C_ini,300_380
10,flux,20
10,C_ini,147
11,flux,17_20
11,C_DOC,7.8
11,C_ini,181_410
12,C_ini,64_99
13,C_ini,237_271
14,C_ini,100_500
15,C_ini,100_500 
16,C_ini,300_380 
16,TN_in,152
16,TP_in,47
16,COD_in,2204
16,SS_in,1703
16,NO3_N_in,7.3
16,NO2_N_in,1.3
17,flux,1_3
17,C_ini,640
18,C_ini,1000_1600
18,HRT,7.2
18,Temp,20
19,C_ini,54_220
19,HRT,7.2
19,Temp,20
20,C_ini,320_2700
20,HRT,7.2
20,Temp,20
21,C_ini,250_1300
21,HRT,7.2
21,Temp,20
22,C_ini,150_430
22,HRT,7.2
22,Temp,20
23,C_ini,1000_1600
23,HRT,15
23,Temp,20
24,C_ini,54_220
24,HRT,15
24,Temp,20
25,C_ini,320_2700
25,HRT,15
25,Temp,20
26,C_ini,250_1300
26,HRT,15
26,Temp,20
27,C_ini,150_430
27,HRT,15
27,Temp,20
28,HRT,11.5
28,C_ini,1000_1600
29,C_ini,54_220
29,HRT,11.5
29,SRT,10
30,C_ini,320_2700
30,HRT,11.5
30,SRT,10
31,C_ini,250_1300
31,HRT,11.5
31,SRT,10
32,C_ini,150_430
32,HRT,11.5
32,SRT,10
33,C_ini,5000_6900
33,HRT,11
33,SRT,12.5
34,C_ini,480_570
34,HRT,11
34,SRT,12.5
35,C_ini,370_480
35,HRT,11
35,SRT,12.5
36,C_ini,110_155
37,C_ini,255_333
38,C_ini,80_145
39,C_ini,140
40,C_ini,140
40,pH,6.5_8.0
41,C_ini,140
42,C_ini,140
43,C_ini,204
44,C_ini,204
44,pH,6.5_8.0
45,C_ini,204
46,C_ini,204
47,C_ini,108
48,C_ini,108
48,pH,6.5_8.0
49,C_ini,108
50,C_ini,108
51,C_ini,180
52,C_ini,187.2
53,C_ini,165
54,C_ini,179.85
55,C_ini,443
56,C_ini,456.29
57,C_ini,620
58,C_ini,434
59,C_ini,263
60,C_ini,518
61,C_ini,295
62,C_ini,129
63,C_ini,518
64,C_ini,578
65,C_ini,131
66,C_ini,263
66,CT,10
67,C_ini,518
67,CT,10
68,C_ini,295
68,CT,10
69,C_ini,129
69,CT,10
70,C_ini,518
70,CT,10
71,C_ini,578
71,CT,10
72,C_ini,131
72,CT,10
73,C_ini,263
73,CT,30
74,C_ini,518
74,CT,31
75,C_ini,295
75,CT,32
76,C_ini,129
76,CT,33
77,C_ini,518
77,CT,34
78,C_ini,578
78,CT,35
79,C_ini,131
79,CT,36
80,flow,2
80,C_ini,476
80,C_H2O2,20
81,flow,2
81,C_ini,1035
81,C_H2O2,20
82,flow,2
82,C_ini,81
82,C_H2O2,20
83,flow,2
83,C_ini,229
83,C_H2O2,20
84,flow,2
84,C_ini,487
84,C_H2O2,20
85,flow,2
85,C_ini,33
85,C_H2O2,20
86,flow,2
86,C_ini,476
86,C_H2O2,30
87,flow,2
87,C_ini,1035
87,C_H2O2,30
88,flow,2
88,C_ini,81
88,C_H2O2,30
89,flow,2
89,C_ini,229
89,C_H2O2,30
90,flow,2
90,C_ini,487
90,C_H2O2,30
91,flow,2
91,C_ini,33
91,C_H2O2,30
92,flow,4
92,C_ini,476
92,C_H2O2,20
93,flow,4
93,C_ini,1035
93,C_H2O2,20
94,flow,4
94,C_ini,81
94,C_H2O2,20
95,flow,4
95,C_ini,229
95,C_H2O2,20
96,flow,4
96,C_ini,487
96,C_H2O2,20
97,flow,4
97,C_ini,33
97,C_H2O2,20
98,flow,4
98,C_ini,476
98,C_H2O2,30
99,flow,4
99,C_ini,1035
99,C_H2O2,30
100,flow,4
100,C_ini,81
100,C_H2O2,30
101,flow,4
101,C_ini,229
101,C_H2O2,30
102,flow,4
102,C_ini,487
102,C_H2O2,30
103,flow,4
103,C_ini,33
103,C_H2O2,30
104,flow,4
104,C_ini,237
104,C_H2O2,30
105,flow,4
105,C_ini,1247
105,C_H2O2,30
106,flow,4
106,C_ini,91
106,C_H2O2,30
107,flow,4
107,C_ini,170
107,C_H2O2,30
108,flow,4
108,C_ini,368
108,C_H2O2,30
109,flow,4
109,C_ini,36
109,C_H2O2,30
110,flow,5
110,C_ini,237
110,C_H2O2,30
111,flow,5
111,C_ini,1247
111,C_H2O2,30
112,flow,5
112,C_ini,91
112,C_H2O2,30
113,flow,5
113,C_ini,170
113,C_H2O2,30
114,flow,5
114,C_ini,368
114,C_H2O2,30
115,flow,5
115,C_ini,36
115,C_H2O2,30
116,flow,6
116,C_ini,285
116,C_H2O2,40
117,flow,6
117,C_ini,494
117,C_H2O2,40
118,flow,6
118,C_ini,45
118,C_H2O2,40
119,flow,6
119,C_ini,163
119,C_H2O2,40
120,flow,6
120,C_ini,209
120,C_H2O2,40
121,flow,6
121,C_ini,23
121,C_H2O2,40
122,flow,14
122,C_ini,285
122,C_H2O2,50
123,flow,14
123,C_ini,494
123,C_H2O2,50
124,flow,14
124,C_ini,45
124,C_H2O2,50
125,flow,14
125,C_ini,163
125,C_H2O2,50
126,flow,14
126,C_ini,209
126,C_H2O2,50
127,flow,14
