id_contaminant,id_case,id_statistics,value
SMX,1,RNG1,98_100
SMX,2,RNG1,94_99
SMX,3,SNGL,98
SMX,4,RNG1,99_100 
SMX,5,SNGL,100
SMX,6,RNG1,99_100
SMX,7,AVG,98
SMX,8,SNGL,99
CMZ,9,RNG1,82_93
CMZ,10,RNG1,98_100
CMZ,11,RNG1,99_100
CMZ,12,RNG1,99_100
CMZ,13,RNG1,99_100
CMZ,14,SNGL,100
CMZ,15,SNGL,79
CMZ,16,RNG1,78_92
CMZ,17,AVG,12
DCF,18,AVG,62.6
CMZ,19,AVG,0
ERY,20,AVG,25.2
SMX,21,AVG,78.3
TMP,22,AVG,47.5
DCF,23,AVG,65.8
CMZ,24,AVG,0
ERY,25,AVG,43
SMX,26,AVG,80.8
TMP,27,AVG,66.7
DCF,28,AVG,21.8
CMZ,29,AVG,0
ERY,30,AVG,35.4
SMX,31,AVG,73.8
TMP,32,AVG,40.4
CIP,33,MED,88
SMX,34,MED,62
TMP,35,MED,92
CIP,36,MED,100
SMX,37,MED,100
TMP,38,MED,93
TMP,39,RNG1,0_50
TMP,40,RNG1,90_100
TMP,41,RNG1,80_90
TMP,42,RNG1,90_100
DCF,43,RNG1,0_50 
DCF,44,RNG1,90_100 
DCF,45,SNGL,0
DCF,46,RNG1,90_100
CMZ,47,SNGL,0
CMZ,48,RNG1,90_100
CMZ,49,RNG1,0_50 
CMZ,50,RNG1,90_100
CMZ,51,SNGL,-4
CMZ,52,RNG1,99_100
DCF,53,SNGL,-9
DCF,54,RNG1,99_100
SMX,55,SNGL,-3
SMX,56,SNGL,98
TMP,57,SNGL,30
TMP,58,RNG1,99_100
CMZ,59,SNGL,23
DCF,60,SNGL,100
AZM,61,SNGL,0
CIP,62,SNGL,48
CLA,63,SNGL,0
SMX,64,SNGL,51
TMP,65,SNGL,7
CMZ,66,SNGL,75
DCF,67,SNGL,100
AZM,68,SNGL,50
CIP,69,SNGL,69
CLA,70,SNGL,56
SMX,71,SNGL,98
TMP,72,SNGL,66
CMZ,73,SNGL,100
DCF,74,SNGL,100
AZM,75,SNGL,100
CIP,76,SNGL,100
CLA,77,SNGL,100
SMX,78,SNGL,100
TMP,79,SNGL,100
CMZ,80,SNGL,92
DCF,81,SNGL,99
CIP,82,SNGL,92
CLA,83,SNGL,73
SMX,84,SNGL,81
TMP,85,SNGL,86
CMZ,86,SNGL,97
DCF,87,SNGL,100
CIP,88,SNGL,35
CLA,89,SNGL,80
SMX,90,SNGL,89
TMP,91,SNGL,80
CMZ,92,SNGL,82
DCF,93,SNGL,99
CIP,94,SNGL,83
CLA,95,SNGL,56
SMX,96,SNGL,41
TMP,97,SNGL,83
CMZ,98,SNGL,84
DCF,99,SNGL,99
CIP,100,SNGL,85
