id_technology,description,id_technologyGroup
CAS_A,"WWTP Terrassa is located approximately 21 km of Barcelona (Spain) and it has a total treatment capacity of 277,000 equivalent inhabitants. Wastewater treated is a mixture of municipal and industrial wastewater (mostly pharmaceutical and textile industry). The treatment consists of a pre-treatment, preliminary treatment, primary sedimentation unit and a secondary (biological) treatment. Pre-treated wastewater goes through a physical process of settling in a primary clarifier. 
influent: consists of a pre-denitrification (anaerobic) and nitrification
(aerobic) tank, and two secondary clarifiers. 

Some activated sludge from the secondary sedimentation unit is returned to the inlet of the primary clarifier, whereas the remaining fraction of secondary sludge is being combined with the primary sludge and further treated (i.e., thickened, dewatered and anaerobically digested). In the anaerobic digester, the biosolids are stabilized during approximately 30 days period at 34 °C. The treated sludge is then shipped from the WWTP for the direct application to agricultural fields.",CAS
CAS_B,"The two WWTP systems (activated sludge and MF/RO) investigated are in combination and together form the largest WWTP in the region servicing approximately 700 000 people with an average dry weather flow of 140 ML day?1. Secondary treatment (i.e., CAS treatment) with a bioreactor only. Preliminary treatment included a inlet screen, grit removal and primary settling tank. Influent flow characteristics of this plant are domestically dominated (>85%). However, this proportion decreases substantially (to 57%) when analysing biological oxygen demand (BOD) of influent, with a variety of industrial effluents to note including food manufacture/processing (15%), hospitality (10%), hospitals (3%), and motor industry (3%) wastes. The MF/RO plant receives approximately 10% of effluent flow from the conventional plant for supply to a local oil refinery. ",CAS
CAS_C,"Raw sewage from the Tel-Aviv (Israel) WWTP served as the feed, after sedimentation and 800 ?m filtration, for the MBR. The MBR included a bioreactor that was divided into three zones (anaerobic, anoxic and aerobic) to enhance the removal of organic compounds and nutrients. Bioreactor output was filtered in a membrane tank by two Zenon ZeeWeed 500 UF immersed hollow fiber membranes (total area of 2 m2), in a flux range of 10–20 lmh, at a pressure range of 10–24 kPa and with 10 g/L mixed liquor suspended solids (MLSS). While the MBR was operated continuously, the RO was operated as a semi-batching device in which, the feed tank had a definite volume and its content was concentrated continuously by the return of the RO concentrate to be filtered again (see Fig. 1). The recovery rate increased over time, with a negligible temperature increase due to the relatively short period of time for each experiment and the permeate was sampled when the recovery reached the desired level of 80–90% according to the test requirements. The RO membrane type was Filmtec TW30 25–40 with 2.7 m2 surface area, and a flux range of 22–31 lmh at a pressure range of 9.5–10.2 bar.
coupled with CAS_UF_A",CAS
CAS_MF_A,"The F. Wayne Hill Water Resources Center treats 227 thousands of cubic meters per day of wastewater from Gwinnett County, GA. The facility consists of primary clarification for removal of settleable solids; activated sludge treatment (sludge age of 12 days and mixed liquor suspended solids concentration of 3200 mg/L) to achieve removal of biochemical oxygen-demanding organic compounds (BOD), nitrogen, and phosphorus; and secondary clarification. Flow then splits, with about 5% going to a second clarification tank after ferric chloride addition, followed by granular media filtration. The remaining 95% of the flow goes to submerged membrane microfiltration units. The flow is then combined and passes on to GAC adsorption beds (Calgon F-400) with an empty bed contact time of 15 min. The beds were in place for about three years at the time this study began. It was assumed that they were essentially exhausted with respect to adsorption capacity other than capacity produced by bio-regeneration. The final effluent passes through ozone contact chambers; ozone doses range from 0.75 to 2 mg/L, with an average of 1 mg/L. 

inf: from primary clarifier (WWTP capacity = 227000m3/day), 

activated sludge treatment (sludge age of 12 days and mixed liquor suspended solids concentration of 3200 mg/L)

membrane filtration:  submerged membrane microfiltration units
",MF
CAS_UF_A,"UF membrane: ZeeWeed-1000 immersed hollow fibers, 
inlet from CAS_C, outlet to CAS_UF_RO_A, RE are of the conbined setup",UF
CAS_UF_RO_A,"RO membrane: BW30-400,  Filmtec (Dow), first RO stage- 21 membranes (10.6–12 bars). second and third stages each 7 membranes (feed pressures of 8.7–10.4 bars), 
flux = 45 L/m2.h,
inlet from CAS_UF_A; RE are of the combined setup 

The same raw sewage was treated in a CAS-UF/RO sequence based on full-scale conventional activated sludge (CAS) treatment coupled with a UF pilot device (24 modules, 1024 m2, ZeeWeed-1000 immersed hollow fibers) with a flux range of 25–47 lmh at a pressure range of 6–7.4 kPa. The first RO stage contained 21 membranes (10.6–12 bars) while the second and third stages each had seven membranes (feed pressures of 8.7–10.4 bars). The membrane type was Filmtec BW30–400, with a total of 1295 m2, a total flux of 45 lmh and a total recovery of 80–90% ",RO
Cl_A,"Samples were collected from three WWTPs, in Chennai city that discharge into the Adyar River. WWTPs 1 and 2 have 54 and 40 million liters per day (MLD) treatment capacity. Both plants employ conventional treatment units including activated sludge (AS) process with WWTP 1 having a nitrification process and consequently longer sludge
retention time (SRT). Chlorination is used for disinfection at WWTP 2 whereas a maturation pond is used in WWTP 1. A 1.4 MLD treatment plant (WWTP 3) handling the wastewater generated on a University campus serving a population of 15,000 inhabitants was also evaluated. Treatment units include aerated lagoons followed by clariflocculation and filtration. At WWTP 3, the effluent was stored in a large basin where chlorine was dosed at ~2 mg/L and allowed to sit for about 30 min in a batch mode. ",Cl
GAC_A,"influent from CAS_MF_A, 

GAC adsorption beds (Calgon F-400) with an empty bed contact time of 15 min. The beds were in place for about three years at the time this study began. It was assumed that they were essentially exhausted with respect to adsorption capacity other than capacity produced by bio-regeneration.",GAC
MBR_A,"a pilot-scale A2O plant located at the facilities of the WWTP Murcia Este (EMUASA, Murcia, Spain) was used. (A2O reactor included 1.66 m3 bioreactor tank (anaerobic basin: 0.173 m3, anoxic basin:0.277 m3 , aerobic basin:1.200 m3) and a 0.616 m3 clarifier) 

influent from  0.512 m3 primary sedimentation tank.",MBR
MBR_B,"MBR_A with an integrated fixed-film activated sludge system (IFAS),

After the second phase, the pilot-scale A2O plant was converted to IFAS system by filling the aerobic basin (1.20 m3 ) at 50% with AnoxKaldnes K5 carrier, which correspond to 0.36 filling ratio of the total bioreactor volume. The filling ratio of 0.50 concerning the aerobic basin was recommended by Veolia AnoxKaldnes® in terms of optimal mixing efficiency and optimal nutrient removal efficiency.
Main characteristics of AnoxKaldnes K5 carrier:
Material - High-density polyethylene
Shape -  Cylinder
Density kg/L -  0.95
Bulk Density, Kg/m3 - 118
Specific surface area, m2/m3 -  800
Nominal diameter, mm - 25
Nominal thickness, mm -  3.5
Count per m3 - 331,000",MBR
